Brewery,Name,Address,Brewery_Type,URL,URL_Title,Map_URL,Telephone,Latitude,Longitude
brewery,Black Lotus Brewing Co,"1 E 14 Mile Rd Clawson, MI 48017-2132",Micro,http://www.blacklotusbrewingco.com,www.blacklotusbrewingco.com,http://www.google.com/maps/place/1 E 14 Mile Rd++Clawson+MI+United States,(248) 765-3051,42.533691,-83.14595
brewery,Sanford's Grub and Pub Brewery,"1 E Alger St Sheridan, WY 82801-3911",Brewpub,,,http://www.google.com/maps/place/1 E Alger St++Sheridan+WY+United States,(307) 674-1722,44.800987,-106.955546
brewery,Buoy Beer Company,"1 Eighth St Astoria, OR 97103-4200",Brewpub,http://www.buoybeer.com,www.buoybeer.com,http://www.google.com/maps/place/1 Eighth St++Astoria+OR+United States,(503) 325-4540,46.182026,-123.834957
brewery,Napa Smith Brewery &amp; Winery,"1 Executive Way Napa, CA 94558-6271",Micro,http://www.napasmithbrewery.com,www.napasmithbrewery.com,http://www.google.com/maps/place/1 Executive Way++Napa+CA+United States,(707) 255-2912,38.224348,-122.256794
brewery,Gordon Biersch Brewery Restaurant - Broomfield,"1 Flatiron Cir Ste 428 Broomfield, CO 80021-8214",Brewpub,http://www.gordonbierschrestaurants.com,www.gordonbierschrestaurants.com,http://www.google.com/maps/place/1 Flatiron Cir Ste 428++Broomfield+CO+United States,(720) 887-2991,39.933218,-105.13298
brewery,Omaha Brewing Company,"1 Ford Rd Omaha, GA 31821",Micro,http://www.omahabrewingcompany.com,www.omahabrewingcompany.com,http://www.google.com/maps/place/1 Ford Rd++Omaha+GA+United States,(229) 838-4779,32.141479,-85.0034267
brewery,Tilted Barn Brewery,"1 Hemsley Place Exeter, RI 02822-3740",Micro,http://www.tiltedbarnbrewery.com,www.tiltedbarnbrewery.com,http://www.google.com/maps/place/1 Hemsley Place++Exeter+RI+United States,,41.569526,-71.523862
brewery,Flounder Brewing Co,"1 Ilene Ct Ste 8 Ste 16 Hillsborough, NJ 08844-1916",Micro,http://www.flounderbrewing.com,www.flounderbrewing.com,http://www.google.com/maps/place/1 Ilene Ct Ste 8 Ste 16++Hillsborough+NJ+United States,(908) 396-6166,40.490736,-74.642992
brewery,Bissell Brothers Brewing,"1 Industrial Way Ste 3 Portland, ME 04103-1072",Micro,http://www.bissellbrothers.com,www.bissellbrothers.com,http://www.google.com/maps/place/1 Industrial Way Ste 3++Portland+ME+United States,(207) 423-3622,43.702808,-70.319972
brewery,Foundation Brewing Company,"1 Industrial Way Ste 5 Portland, ME 04103-1072",Micro,http://www.foundationbrew.com,www.foundationbrew.com,http://www.google.com/maps/place/1 Industrial Way Ste 5++Portland+ME+United States,(207) 370-8187,43.702808,-70.319972
brewery,Austin Street Brewery,"1 Industrial Way Ste 8 Portland, ME 04103-1072",Micro,http://www.austinstreetbrewery.com,www.austinstreetbrewery.com,http://www.google.com/maps/place/1 Industrial Way Ste 8++Portland+ME+United States,(207) 831-6387,43.702808,-70.319972
brewery,Grand Rapids Brewing Company,"1 Ionia Ave SW, Suite 100 Grand Rapids, MI 49503-5122",Brewpub,http://www.grbrewingcompany.com,www.grbrewingcompany.com,"http://www.google.com/maps/place/1 Ionia Ave SW, Suite 100++Grand Rapids+MI+United States",(616) 458-7000,42.963058,-85.670596
brewery,Cambridge Brewing Co,"1 Kendall Sq Ste B1102 Cambridge, MA 02139-1592",Brewpub,http://www.cambridgebrewingcompany.com,www.cambridgebrewingcompany.com,http://www.google.com/maps/place/1 Kendall Sq Ste B1102++Cambridge+MA+United States,(617) 494-1994,42.367815,-71.09006
brewery,A1A Ale Works,"1 King St Ste 101 St Augustine, FL 32084-4461",Brewpub,http://www.a1aaleworks.com,www.a1aaleworks.com,http://www.google.com/maps/place/1 King St Ste 101++St Augustine+FL+United States,(904) 829-2977,29.891979,-81.311144
brewery,Stoneyard Brewing Company,"1 Main St Brockport, NY 14420",Brewpub,http://www.stoneyardbrewingcompany.com,www.stoneyardbrewingcompany.com,http://www.google.com/maps/place/1 Main St++Brockport+NY+United States,(585) 637-3390,43.216378,-77.937964
brewery,Argyle Brewing Company,"1 Main St Greenwich, NY 12834",Micro,http://www.argylebrewing.com,www.argylebrewing.com,http://www.google.com/maps/place/1 Main St++Greenwich+NY+United States,(518) 692-2585,43.087676,-73.496737
brewery,Craft Brew Alliance - Widmer Rose Garden,"1 N Center Court St Portland, OR 97227-2102",Brewpub,http://www.widmer.com,www.widmer.com,http://www.google.com/maps/place/1 N Center Court St++Portland+OR+United States,(503) 232-5343,45.53186,-122.66682
brewery,Bricktown Brewery,"1 N Oklahoma Ave Oklahoma City, OK 73104-2413",Brewpub,http://www.bricktownbrewery.com,www.bricktownbrewery.com,http://www.google.com/maps/place/1 N Oklahoma Ave++Oklahoma City+OK+United States,(405) 232-2739,35.466761,-97.510809
brewery,Biltmore Brewing Company,"1 N Pack Sq C/O Biltmore Winery EstatesAsheville, NC 28801-3462",Proprietor,http://www.biltmore.com,www.biltmore.com,http://www.google.com/maps/place/1 N Pack Sq+C/O Biltmore Winery Estates+Asheville+NC+United States,(800) 411-3812,35.592746,-82.556456
brewery,EuroBevs,"1 Northside 75 Nw Atlanta, GA 30318-7715",Contract,http://www.eurobevs.com,www.eurobevs.com,http://www.google.com/maps/place/1 Northside 75 Nw++Atlanta+GA+United States,(770) 437-1285,33.800581,-84.407019
brewery,Badger Mountain Brewing,"1 Orondo Ave Wenatchee, WA 98801-2206",Micro,,,http://www.google.com/maps/place/1 Orondo Ave++Wenatchee+WA+United States,(509) 888-7468,47.423871,-120.309254
brewery,Rock Bottom Brewery - Long Beach,"1 Pine Ave Long Beach, CA 90802-4759",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/1 Pine Ave++Long Beach+CA+United States,(562) 308-2255,33.767405,-118.192751
brewery,Shawnee Craft Brewery,"1 River Rd Shawnee on Delaware, PA 18356",Brewpub,,,http://www.google.com/maps/place/1 River Rd++Shawnee on Delaware+PA+United States,(570) 424-4000,41.007227,-75.111187
brewery,Schlafly Bottleworks,"1 Schlafly Plz Saint Louis, MO 63143-2454",Regional,http://www.schlafly.com,www.schlafly.com,http://www.google.com/maps/place/1 Schlafly Plz++Saint Louis+MO+United States,(314) 241-2337,38.613005,-90.315017
brewery,Rock Bottom Brewery - Chicago,"1 W Grand Ave Chicago, IL 60654-4806",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/1 W Grand Ave++Chicago+IL+United States,(312) 755-9339,41.891418,-87.628398
brewery,Shebeen Brewing Company,"1 Wolcott Rd Wolcott, CT 06716-2611",Micro,http://www.shebeenbrewing.com,www.shebeenbrewing.com,http://www.google.com/maps/place/1 Wolcott Rd++Wolcott+CT+United States,(203) 514-2336,41.574195,-73.00182
brewery,John Harvards Brew House - Framingham,"1 Worcester Rd Framingham, MA 01701-5359",Brewpub,http://www.johnharvards.com,www.johnharvards.com,http://www.google.com/maps/place/1 Worcester Rd++Framingham+MA+United States,(508) 875-2337,42.303254,-71.396354
brewery,SoMe Brewing Co,"1 York St Ste 3 York, ME 03909-1392",Micro,http://www.somebrewingco.com,www.somebrewingco.com,http://www.google.com/maps/place/1 York St Ste 3++York+ME+United States,(215) 718-3541,43.150193,-70.665592
brewery,Paradox Beer Co,"10 Buffalo Court Divide, CO 80814",Micro,http://www.paradoxbeercompany.com,www.paradoxbeercompany.com,http://www.google.com/maps/place/10 Buffalo Court++Divide+CO+United States,(719) 686-8081,38.943996,-105.155199
brewery,Revelry Brewing Co.,"10 Conroy St Charleston, SC 29403-3815",Micro,http://www.revelrybrewingco.com,www.revelrybrewingco.com,http://www.google.com/maps/place/10 Conroy St++Charleston+SC+United States,(843) 870-0010,32.807076,-79.94501
brewery,Molly Pitcher Brewing Co,"10 East South St. Carlisle, PA 17013-3426",Micro,http://www.mollypitcher.com,www.mollypitcher.com,http://www.google.com/maps/place/10 East South St.++Carlisle+PA+United States,(717) 609-0969,40.198178,-77.189085
brewery,3 Guys and A Beer'd Brewing Co,"10 Enterprise Carbondale, PA 18407-1880",Micro,http://www.3guysandabeerd.com,www.3guysandabeerd.com,http://www.google.com/maps/place/10 Enterprise++Carbondale+PA+United States,(570) 280-2739,41.579286,-75.501533
brewery,Rock Bottom Brewery - Cincinnati,"10 Fountain Square Plz Cincinnati, OH 45202-3102",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/10 Fountain Square Plz++Cincinnati+OH+United States,(513) 621-1588,39.269982,-84.462071
brewery,Spellbound Brewing,"10 Lippincott Ln Unit 12 Mount Holly, NJ 08060-1603",Micro,http://www.spellboundbrewing.com,www.spellboundbrewing.com,http://www.google.com/maps/place/10 Lippincott Ln Unit 12++Mount Holly+NJ+United States,(609) 744-0665,39.992634,-74.802634
brewery,Angry Erik Brewing,"10 Millpond Dr Unit 8 Lafayette, NJ 07848-3825",Micro,http://www.angryerik.com,www.angryerik.com,http://www.google.com/maps/place/10 Millpond Dr Unit 8++Lafayette+NJ+United States,(862) 432-9003,41.09372,-74.71685
brewery,Light the Lamp Brewery,"10 N Lake St Ste 107 Grayslake, IL 60030-3636",Micro,http://www.lightthelampbrewery.com,www.lightthelampbrewery.com,http://www.google.com/maps/place/10 N Lake St Ste 107++Grayslake+IL+United States,(847) 752-8489,42.344421,-88.044254
brewery,Bottle Tree Beer Co,"10 N Trade St Ste A Tryon, NC 28782-6781",Contract,http://www.bottletree.net,www.bottletree.net,http://www.google.com/maps/place/10 N Trade St Ste A++Tryon+NC+United States,(864) 266-0133,35.208954,-82.238151
brewery,Dru Bru,"10 Pass Life Way # 3 Snoqualmie Pass, WA 98068",Micro,http://www.drubru.com,www.drubru.com,http://www.google.com/maps/place/10 Pass Life Way # 3++Snoqualmie Pass+WA+United States,(425) 434-0700,47.421099,-121.412954
brewery,Glasstown Brewing,"10 Peterson St Millville, NJ 08332-4818",Brewpub,http://www.glasstownbrewingco.com,www.glasstownbrewingco.com,http://www.google.com/maps/place/10 Peterson St++Millville+NJ+United States,856-327-7770,39.372604,-75.071979
brewery,Vault Brewing Co,"10 S Main St Morrisville, PA 19067-1511",Brewpub,http://www.vaultbrewing.com,www.vaultbrewing.com,http://www.google.com/maps/place/10 S Main St++Morrisville+PA+United States,(267) 573-4291,40.242345,-74.838506
brewery,Alligator Brewing / Tall Paul's Brewhouse,"10 SE 2nd Ave Gainesville, FL 32601-6232",Micro,,,http://www.google.com/maps/place/10 SE 2nd Ave++Gainesville+FL+United States,(352) 505-0990,29.650476,-82.324568
brewery,Tributary Brewing Company,"10 Shapleigh Rd Kittery, ME 03904-1480",Micro,http://www.tributarybrewingcompany.com,www.tributarybrewingcompany.com,http://www.google.com/maps/place/10 Shapleigh Rd++Kittery+ME+United States,,43.090399,-70.735469
brewery,Grist House Brewing,"10 Sherman St Pittsburgh, PA 15209",Brewpub,http://www.gristhousebrewing.com,www.gristhousebrewing.com,http://www.google.com/maps/place/10 Sherman St++Pittsburgh+PA+United States,(412) 447-1442,40.47886,-79.971985
brewery,Amherst Brewing Co,"10 University Dr Amherst, MA 01002-2243",Brewpub,http://www.amherstbrewing.com,www.amherstbrewing.com,http://www.google.com/maps/place/10 University Dr++Amherst+MA+United States,(413) 253-4400,42.372756,-72.531824
brewery,Rock Bottom Brewery - Indianapolis,"10 W Washington St Indianapolis, IN 46204-3402",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/10 W Washington St++Indianapolis+IN+United States,(317) 681-8180,39.767399,-86.158596
brewery,Anheuser-Busch InBev ‰ÛÒ Cartersville,"100 Busch Dr NE Cartersville, GA 30121-7217",Large,,,http://www.google.com/maps/place/100 Busch Dr NE++Cartersville+GA+United States,(770) 386-2000,34.255873,-84.783187
brewery,Jack's Abby Brewing,"100 Clinton St Framingham, MA 01702-6748",Micro,http://www.jacksabbybrewing.com,www.jacksabbybrewing.com,http://www.google.com/maps/place/100 Clinton St++Framingham+MA+United States,(508) 872-0900,42.280767,-71.410714
brewery,The Barber Shop,"100 Commons Rd Ste 7 # 213 Dripping Springs, TX 78620-3966",Brewpub,http://www.barbershopbar.com,www.barbershopbar.com,http://www.google.com/maps/place/100 Commons Rd Ste 7 # 213++Dripping Springs+TX+United States,(512) 829-4636,30.192841,-98.084489
brewery,Gordon Biersch Restaurant &amp; Brewery,"100 E 14th St Kansas City, MO 64105",Brewpub,,,http://www.google.com/maps/place/100 E 14th St++Kansas City+MO+United States,(423) 424-2000,39.097224,-94.582212
brewery,Portal Brewing Co,"100 E 6th St Medford, OR 97501-5902",Brewpub,http://www.portalbrewingco.com,www.portalbrewingco.com,http://www.google.com/maps/place/100 E 6th St++Medford+OR+United States,(541) 941-0240,42.326815,-122.873642
brewery,Top Of The Hill Restaurant and Brewery,"100 E Franklin St Ste 300 Chapel Hill, NC 27514-3629",Brewpub,http://www.thetopofthehill.com,www.thetopofthehill.com,http://www.google.com/maps/place/100 E Franklin St Ste 300++Chapel Hill+NC+United States,(919) 929-8676,35.912961,-79.055309
brewery,Corner Pub,"100 E Main St Lowr Reedsburg, WI 53959-1967",Brewpub,,,http://www.google.com/maps/place/100 E Main St Lowr++Reedsburg+WI+United States,(608) 524-8989,43.532481,-90.002626
brewery,Gordon Biersch Brewery Restaurant,"100 E. 14th St Kansas City, MO 64105",Brewpub,http://www.gordonbierschrestaurants.com,www.gordonbierschrestaurants.com,http://www.google.com/maps/place/100 E. 14th St++Kansas City+MO+United States,(816) 471-2340,39.097224,-94.582212
brewery,Dillon Dam Brewery,"100 Little Dam Street Dillon, CO 80435-4845",Brewpub,http://www.dambrewery.com,www.dambrewery.com,http://www.google.com/maps/place/100 Little Dam Street++Dillon+CO+United States,(970) 262-7777,39.627571,-106.060316
brewery,Gordon Biersch Brewer Restaurant,"100 M St SE Washington, DC 20003-3519",Brewpub,http://www.gordonbiersch.com,www.gordonbiersch.com,http://www.google.com/maps/place/100 M St SE++Washington+DC+United States,(202) 484-2739,38.876792,-77.005357
brewery,Run of the Mill Public House &amp; Brewery,"100 Main St Saco, ME 04072-3500",Brewpub,http://www.therunofthemill.net,www.therunofthemill.net,http://www.google.com/maps/place/100 Main St++Saco+ME+United States,(207) 571-9648,43.49388,-70.448691
brewery,Cottrell Brewing Co,"100 Mechanic St Pawcatuck, CT 06379-2163",Micro,http://www.cottrellbrewing.com,www.cottrellbrewing.com,http://www.google.com/maps/place/100 Mechanic St++Pawcatuck+CT+United States,(860) 599-8213,41.370237,-71.833709
brewery,Battle Born Beer Co,"100 North Arlington Ave, Suite 100 Reno, NV 89501-1233",Contract,http://www.battlebornbeer.com,www.battlebornbeer.com,"http://www.google.com/maps/place/100 North Arlington Ave, Suite 100++Reno+NV+United States",(775) 849-3376,39.525297,-119.816658
brewery,Benny Brew @ Marty's Blue Room,"100 Old Newport St Nanticoke, PA 18634-1313",Micro,http://www.martysblueroom.com,www.martysblueroom.com,http://www.google.com/maps/place/100 Old Newport St++Nanticoke+PA+United States,(570)735-4395,41.193243,-76.015874
brewery,Bloom Brew,"100 Riverside Dr West Newton, PA 15089-1542",Micro,http://www.bloombrew.com,www.bloombrew.com,http://www.google.com/maps/place/100 Riverside Dr++West Newton+PA+United States,(724) 322-4494,40.213263,-79.766577
brewery,Dolores River Brewery,"100 S 4th St Dolores, CO 81323",Brewpub,http://www.doloresriverbrewery.com,www.doloresriverbrewery.com,http://www.google.com/maps/place/100 S 4th St++Dolores+CO+United States,(970) 882-4677,37.473538,-108.504895
brewery,Outlaw Brewing Co,"100 S Broadway Belgrade, MT 59714-3909",Micro,,,http://www.google.com/maps/place/100 S Broadway++Belgrade+MT+United States,(406) 388-9182,45.775027,-111.177806
brewery,Belfast Bay Brewing Co,"100 Searsport Ave Belfast, ME 04915-7221",Contract,http://www.belfastbaybrewing.com,www.belfastbaybrewing.com,http://www.google.com/maps/place/100 Searsport Ave++Belfast+ME+United States,(207) 338-4216,44.429488,-68.974947
brewery,Sierra Nevada Brewing Co,"100 Sierra Nevada Wy Mills River, NC 28732-8608",Regional,http://www.sierranevada.com,www.sierranevada.com,http://www.google.com/maps/place/100 Sierra Nevada Wy++Mills River+NC+United States,,35.430382,-82.548921
brewery,Iron Duke Brewing Co,"100 State St Ludlow, MA 01056-3435",Micro,http://www.irondukebrewing.com,www.irondukebrewing.com,http://www.google.com/maps/place/100 State St++Ludlow+MA+United States,(413) 624-6258,42.154668,-72.475514
brewery,Fetch Brewing Co,"100 W Colby St Whitehall, MI 49461-1015",Micro,http://www.fetchbrewing.com,www.fetchbrewing.com,http://www.google.com/maps/place/100 W Colby St++Whitehall+MI+United States,(231) 292-1048,43.409748,-86.347399
brewery,Barley &amp; Board,"100 W Oak St Denton, TX 76201-4152",Brewpub,http://www.barleyandboard.com,www.barleyandboard.com,http://www.google.com/maps/place/100 W Oak St++Denton+TX+United States,,33.215875,-97.13258
brewery,Armadillo Ale Works,"100 W Oak St Ste G107 Denton, TX 76201-4152",Contract,http://www.armadilloaleworks.com,www.armadilloaleworks.com,http://www.google.com/maps/place/100 W Oak St Ste G107++Denton+TX+United States,(940) 580-4446,33.215875,-97.13258
brewery,Rhodell Brewery,"100 Walnut St Ste 111 Peoria, IL 61602-1552",Micro,http://www.rhodellsbrewery.com,www.rhodellsbrewery.com,http://www.google.com/maps/place/100 Walnut St Ste 111++Peoria+IL+United States,3099661047,40.686424,-89.593806
brewery,The Tap Brewing Company,"100 Washington St Haverhill, MA 01832-5500",Brewpub,http://www.tapbrewingcompany.com,www.tapbrewingcompany.com,http://www.google.com/maps/place/100 Washington St++Haverhill+MA+United States,(617) 835-8315,42.772665,-71.085238
brewery,Nashoba Valley Winery and Brewery,"100 Wattaquadock Hill Rd Bolton, MA 01740-1238",Micro,http://www.nashobawinery.com,www.nashobawinery.com,http://www.google.com/maps/place/100 Wattaquadock Hill Rd++Bolton+MA+United States,(978) 779-5521,42.430161,-71.616272
brewery,Carillon Brewing Company,"1000 Carillon Blvd Dayton, OH 45409",Brewpub,http://www.carillonbrewingco.org,www.carillonbrewingco.org,http://www.google.com/maps/place/1000 Carillon Blvd++Dayton+OH+United States,(937) 293-2841,39.729197,-84.199902
brewery,Beach Chalet Brewing Co,"1000 Great Hwy San Francisco, CA 94121-3268",Brewpub,http://www.beachchalet.com,www.beachchalet.com,http://www.google.com/maps/place/1000 Great Hwy++San Francisco+CA+United States,(415) 386-8439,37.769464,-122.510096
brewery,Gordon Biersch Brewery Restaurant - Baltimore,"1000 Lancaster St Ste B Baltimore, MD 21202-4631",Brewpub,http://www.gordonbierschrestaurants.com,www.gordonbierschrestaurants.com,http://www.google.com/maps/place/1000 Lancaster St Ste B++Baltimore+MD+United States,(410) 230-9501,39.28272,-76.599392
brewery,5 Seasons Brewing Co - Westside,"1000 Marietta St NW Ste 204 Atlanta, GA 30318-0683",Brewpub,http://www.5seasonsbrewing.com,www.5seasonsbrewing.com,http://www.google.com/maps/place/1000 Marietta St NW Ste 204++Atlanta+GA+United States,(404) 875-3232,33.778989,-84.410794
brewery,Small Town Brewery,"1000 N Rand. Road #204Wauconda, IL 60084-1182",Micro,,,http://www.google.com/maps/place/1000 N Rand. Road+#204+Wauconda+IL+United States,(314) 276-8277,42.274634,-88.152712
brewery,Miskatonic Brewing Company,"1000 N. Frontage Rd Unit C Darien, IL 60561",Micro,http://www.miskatonicbrewing.com,www.miskatonicbrewing.com,http://www.google.com/maps/place/1000 N. Frontage Rd Unit C++Darien+IL+United States,(630) 541-9414,41.734417,-87.970197
brewery,Miskatonic Brewing Company,"1000 N. Frontage Rd. Unit C Darien, IL 60561-6448",Micro,http://www.miskatonicbrewing.com,www.miskatonicbrewing.com,http://www.google.com/maps/place/1000 N. Frontage Rd. Unit C++Darien+IL+United States,(630) 541-9414,41.734417,-87.970197
brewery,Bentonville Brewing Co,"1000 SE 5th St. Suite A Bentonville, AR 72712-6076",Micro,http://www.bentonvillebrewing.com,www.bentonvillebrewing.com,http://www.google.com/maps/place/1000 SE 5th St. Suite A++Bentonville+AR+United States,(479) 464-0150,36.367101,-94.198234
brewery,Fairport Brewing Co,"1000 Turk Hill Rd Ste 298 Fairport, NY 14450-8755",Micro,,,http://www.google.com/maps/place/1000 Turk Hill Rd Ste 298++Fairport+NY+United States,(585) 752-0613,43.09547,-77.431388
brewery,Karl Strauss Brewing Co - Universal CityWalk,"1000 Universal Studios Blvd Universal City, CA 91608-1008",Brewpub,http://www.karlstrauss.com,www.karlstrauss.com,http://www.google.com/maps/place/1000 Universal Studios Blvd++Universal City+CA+United States,(818) 753-2739,34.136033,-118.352791
brewery,Rock Bottom Brewery - Denver,"1001 16th St Ste 100 Denver, CO 80265-0100",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/1001 16th St Ste 100++Denver+CO+United States,(303) 534-7616,39.747839,-104.994908
brewery,Red Door Brewing Company,"1001 Candelaria Rd NE Albuquerque, NM 87107-2115",Micro,http://www.reddoorbrewing.com,www.reddoorbrewing.com,http://www.google.com/maps/place/1001 Candelaria Rd NE++Albuquerque+NM+United States,(505) 633-6675,35.115875,-106.629132
brewery,Rock Bottom Brewery - King Of Prussia,"1001 King Of Prussia Plaza King of Prussia, PA 19406-2941",Brewpub,http://www.rockbottom.com,www.rockbottom.com,http://www.google.com/maps/place/1001 King Of Prussia Plaza++King of Prussia+PA+United States,(610) 230-2739,40.087779,-75.393878
brewery,Granite City Food &amp; Brewery (#16),"1001 N 102nd St Omaha, NE 68114-2155",Brewpub,http://www.gcfb.net,www.gcfb.net,http://www.google.com/maps/place/1001 N 102nd St++Omaha+NE+United States,(402) 393-5000,41.268125,-96.071463
brewery,Courthouse Pub,"1001 S 8th St Manitowoc, WI 54220-5307",Brewpub,http://www.courthousepub.com,www.courthousepub.com,http://www.google.com/maps/place/1001 S 8th St++Manitowoc+WI+United States,(920) 686-1166,44.08862,-87.657496
brewery,Chimera Brewing Company,"1001 W Magnolia Ave Fort Worth, TX 76104-4504",Brewpub,,,http://www.google.com/maps/place/1001 W Magnolia Ave++Fort Worth+TX+United States,(817) 923-8000,32.730389,-97.335289
brewery,Howard Brewing Co,"1001 West Ave NW Lenoir, NC 28645-5126",Micro,http://www.howardbrewing.com,www.howardbrewing.com,http://www.google.com/maps/place/1001 West Ave NW++Lenoir+NC+United States,,35.913934,-81.541223
brewery,North By Northwest Restaurant and Brewery,"10010 N Capital of Texas Hwy Austin, TX 78759-5837",Brewpub,http://www.nxnwbrew.com,www.nxnwbrew.com,http://www.google.com/maps/place/10010 N Capital of Texas Hwy++Austin+TX+United States,(512) 467-6969,30.391162,-97.738351
brewery,Burley Oak Craft Brewery,"10016 Old Ocean City Blvd Berlin, MD 21811-1145",Micro,http://www.burleyoak.com,www.burleyoak.com,http://www.google.com/maps/place/10016 Old Ocean City Blvd++Berlin+MD+United States,(410) 422-8887,38.333644,-75.216978
brewery,RAM Restaurant &amp; Brewery -  Lakewood,"10019 59th Ave SW Lakewood, WA 98499-2757",Brewpub,http://www.theram.com,www.theram.com,http://www.google.com/maps/place/10019 59th Ave SW++Lakewood+WA+United States,(253) 584-3191,47.165823,-122.515321
brewery,No-Li Brewhouse,"1003 E Trent Ave Ste 170 Spokane, WA 99202-2185",Micro,http://www.nolibrewhouse.com,www.nolibrewhouse.com,http://www.google.com/maps/place/1003 E Trent Ave Ste 170++Spokane+WA+United States,(509) 242-2739,47.662788,-117.394136
brewery,Smoky Mountain Brewery (#2) - Gatlinburg,"1004 Parkway Ste 501 Gatlinburg, TN 37738-3172",Brewpub,http://www.smoky-mtn-brewery.com,www.smoky-mtn-brewery.com,http://www.google.com/maps/place/1004 Parkway Ste 501++Gatlinburg+TN+United States,(865) 436-4200,35.70754,-83.52057
